ibge,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
430367,202112,369,799,216,543,43,129,107,242,150,371
430370,202112,566,1475,230,670,36,100,60,141,96,241
430380,202112,727,1746,347,1044,74,246,95,276,169,522
430390,202112,3697,8622,2308,6154,439,1300,291,538,730,1838
430400,202112,1080,2263,815,1908,68,182,488,1099,556,1281
430410,202112,574,1314,403,1042,56,150,263,661,319,811
430420,202112,2843,7195,2201,5895,404,1188,1196,2989,1600,4177
430430,202112,613,1514,270,817,61,172,52,168,113,340
430435,202112,1675,4101,1275,3453,233,660,639,1712,872,2372
430440,202112,4158,10901,3315,9496,306,943,2114,6016,2420,6959
430450,202112,7187,17174,5746,14674,1233,3277,2687,6585,3920,9862
430460,202112,37737,92240,28318,76726,4322,12768,14803,38247,19125,51015
430461,202112,236,614,78,238,14,50,33,80,47,130
430462,202112,338,860,173,529,32,101,44,120,76,221
430463,202112,6818,17330,5012,14009,955,2981,2303,6069,3258,9050
430465,202112,475,1177,378,996,67,192,234,595,301,787
430466,202112,4833,11648,3835,10096,768,2089,1931,4817,2699,6906
430467,202112,519,1220,361,979,52,165,195,478,247,643
430468,202112,1373,3269,1098,2867,81,247,799,2030,880,2277
430469,202112,605,1617,87,258,11,34,19,41,30,75
430470,202112,6053,15160,4016,11526,1099,3424,970,2565,2069,5989
430471,202112,598,1648,494,1460,81,245,284,806,365,1051
430480,202112,677,1843,429,1312,58,191,102,257,160,448
430485,202112,177,454,71,208,20,57,11,30,31,87
430490,202112,455,1135,242,714,26,94,114,287,140,381
430495,202112,416,1089,276,831,44,135,118,331,162,466
430500,202112,1043,2607,729,2075,240,737,199,515,439,1252
430510,202112,29671,74249,21169,58230,3405,10383,9700,24489,13105,34872
430511,202112,382,1034,142,455,14,47,18,54,32,101
430512,202112,1054,2287,820,1940,185,450,296,703,481,1153
430513,202112,839,2027,396,1101,69,198,182,466,251,664
430515,202112,403,1089,292,869,41,117,154,456,195,573
430517,202112,1272,3606,965,2924,162,480,530,1609,692,2089
430520,202112,1450,3531,771,2111,135,386,181,431,316,817
430530,202112,1028,2505,429,1248,71,212,112,314,183,526
430535,202112,3814,9470,2753,7540,379,1063,1397,3674,1776,4737
430537,202112,424,1287,365,1153,26,79,278,880,304,959
430540,202112,641,1508,361,1026,70,199,172,481,242,680
430543,202112,1066,1829,636,1326,76,161,236,566,312,727
430544,202112,791,2156,544,1620,131,402,167,483,298,885
430545,202112,2623,6371,1967,5392,309,854,1116,3063,1425,3917
430550,202112,367,1009,263,788,54,169,95,263,149,432
430558,202112,119,278,56,156,7,14,21,60,28,74
430560,202112,300,687,151,438,27,86,52,138,79,224
430570,202112,914,2197,655,1730,116,352,298,692,414,1044
430580,202112,877,2127,627,1746,174,512,249,726,423,1238
430583,202112,202,494,40,122,4,12,11,23,15,35
430585,202112,233,568,122,341,18,44,41,103,59,147
430587,202112,212,553,158,462,22,71,62,168,84,239
430590,202112,1424,3372,1173,2993,85,248,924,2299,1009,2547
430593,202112,22,65,14,40,2,4,6,17,8,21
430595,202112,439,1093,119,372,12,34,20,48,32,82
430597,202112,470,1166,244,713,27,79,71,171,98,250
430600,202112,2095,5323,873,2450,139,408,186,467,325,875
430605,202112,1382,3492,1009,2818,119,357,493,1326,612,1683
430607,202112,664,1452,479,1171,39,96,328,783,367,879
430610,202112,6067,13744,4058,10757,1060,3234,909,2291,1969,5525
430613,202112,297,682,85,246,10,26,21,53,31,79
430620,202112,697,1664,520,1341,82,242,303,693,385,935
430630,202112,444,1185,126,389,23,74,32,79,55,153
430632,202112,471,1200,207,595,38,100,78,215,116,315
430635,202112,600,1342,452,1092,45,115,335,798,380,913
430637,202112,478,1117,365,950,37,112,247,623,284,735
430640,202112,1160,3029,776,2245,119,356,308,817,427,1173
430642,202112,380,1017,275,789,47,133,130,349,177,482
430645,202112,163,385,68,181,14,40,20,40,34,80
430650,202112,1854,4938,1454,4274,435,1248,562,1838,997,3086
430655,202112,324,776,193,530,28,88,97,232,125,320
430660,202112,5515,13539,4213,11428,861,2422,1923,5143,2784,7565
430670,202112,673,1581,506,1299,74,194,248,637,322,831
430673,202112,565,1255,245,671,43,116,91,228,134,344
430675,202112,257,738,62,217,6,17,11,33,17,50
430676,202112,5620,13457,4515,11796,603,1644,2818,7210,3421,8854
430680,202112,1122,2883,662,1949,193,545,153,430,346,975
430690,202112,3112,8041,2461,6882,841,2435,696,1909,1537,4344
430692,202112,220,658,172,577,11,36,131,450,142,486
430693,202112,1002,2564,607,1800,117,385,149,419,266,804
430695,202112,427,1043,259,711,37,95,133,355,170,450
430697,202112,469,1118,353,945,76,190,178,515,254,705
430700,202112,8352,19812,5162,13979,1052,3040,1216,2916,2268,5956
430705,202112,413,951,202,568,23,62,81,205,104,267
430710,202112,1814,3716,1260,2988,153,414,752,1714,905,2128
430720,202112,859,1982,419,1204,58,166,206,566,264,732
430730,202112,1056,2799,740,2191,94,268,369,1067,463,1335
430740,202112,707,1875,362,1149,59,189,96,312,155,501
430745,202112,393,997,273,749,64,204,105,234,169,438
430750,202112,1601,3870,1079,2952,306,878,363,952,669,1830
430755,202112,473,1139,306,806,28,81,168,405,196,486
430760,202112,2281,5433,1762,4649,366,1052,813,2035,1179,3087
430770,202112,7108,17215,5545,14839,661,1992,3556,9120,4217,11112
430780,202112,2080,5045,1314,3738,199,640,630,1705,829,2345
430781,202112,497,1340,289,863,71,200,87,233,158,433
430783,202112,361,817,219,597,31,95,124,315,155,410
430786,202112,34,118,24,91,4,17,4,16,8,33
430790,202112,4932,11682,3500,9224,372,1153,2141,5232,2513,6385
430800,202112,808,1781,610,1505,49,116,394,971,443,1087
430805,202112,384,960,252,692,13,44,176,458,189,502
430807,202112,583,1409,337,943,39,118,166,416,205,534
430810,202112,788,1853,348,995,43,146,120,287,163,433
430820,202112,1281,3422,761,2367,124,398,230,665,354,1063
430825,202112,294,705,105,268,14,33,36,91,50,124
430830,202112,1866,4986,1503,4289,199,507,977,2785,1176,3292
430840,202112,1123,2612,752,2020,116,279,469,1288,585,1567
430843,202112,183,430,84,225,7,19,31,71,38,90
430845,202112,511,1179,337,905,39,115,184,463,223,578
430850,202112,2451,6193,1681,4747,284,879,606,1778,890,2657
430860,202112,998,2326,472,1309,57,182,218,517,275,699
430865,202112,559,1397,385,1085,100,296,91,247,191,543
430870,202112,598,1551,255,794,39,130,70,191,109,321
430880,202112,1572,3467,1086,2728,167,422,611,1483,778,1905
430885,202112,174,463,93,295,10,35,53,164,63,199
430890,202112,1090,2597,711,1954,54,206,133,345,187,551
430900,202112,3272,6906,2302,5545,159,508,1614,3613,1773,4121
430905,202112,940,2280,617,1677,106,307,257,665,363,972
430910,202112,2271,5971,1718,4854,263,836,817,2013,1080,2849
430912,202112,533,1463,369,1127,45,128,224,702,269,830
430915,202112,523,1531,376,1225,130,407,101,347,231,754
430920,202112,25617,63148,19987,53794,2565,7514,12190,31829,14755,39343
430925,202112,90,202,38,113,4,12,19,55,23,67
430930,202112,11545,26329,7719,20520,1402,3668,3405,9277,4807,12945
430940,202112,1084,2716,675,1896,124,368,221,565,345,933
430950,202112,881,1897,566,1377,40,131,381,840,421,971
430955,202112,413,1060,114,319,23,62,34,72,57,134
430957,202112,178,587,159,546,30,95,94,329,124,424
430960,202112,1461,3381,837,2257,158,444,333,842,491,1286
430965,202112,1618,3766,1254,3200,68,180,945,2455,1013,2635
430970,202112,399,931,216,585,33,105,109,259,142,364
430975,202112,536,1510,409,1224,79,254,183,525,262,779
430980,202112,416,926,243,639,21,63,120,277,141,340
430990,202112,604,1641,401,1189,63,201,170,484,233,685
430995,202112,585,1450,442,1223,70,195,232,626,302,821
431000,202112,1465,3401,606,1734,109,350,38,90,147,440
431010,202112,2549,6559,1757,5177,325,1022,548,1417,873,2439
431020,202112,8474,18100,5037,12940,946,2783,1840,4107,2786,6890
431030,202112,366,989,182,603,37,138,23,75,60,213
431033,202112,4169,9490,2737,7238,558,1528,1006,2618,1564,4146
431036,202112,342,746,73,213,7,24,21,43,28,67
431040,202112,948,2312,610,1728,70,227,308,788,378,1015
