UF,anomes,ibge,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
AC,201901,2640762,129071,464645,116689,444241,13791,56293.0,83993.0,325460.0,97784.0,381753.0
AC,201902,2640762,130455,467954,117809,447110,13753,55998.0,84931.0,328013.0,98684.0,384011.0
AC,201903,2640762,131428,469838,118569,448643,13749,56170.0,85446.0,328573.0,99195.0,384743.0
AC,201904,2640762,130603,466413,117717,445137,13284,54379.0,85399.0,327928.0,98683.0,382307.0
AC,201905,2640762,132086,469413,118938,447740,13307,54419.0,86420.0,329930.0,99727.0,384349.0
AC,201906,2640762,133700,472826,120143,450455,13292,54228.0,87394.0,332136.0,100686.0,386364.0
AC,201907,2640762,135118,475406,121088,452248,13337,54129.0,87959.0,333061.0,101296.0,387190.0
AC,201908,2640762,136876,479948,122133,455630,13382,54359.0,88380.0,334334.0,101762.0,388693.0
AC,201909,2640762,133529,468147,118866,444172,12575,51289.0,87390.0,330979.0,99965.0,382268.0
AC,201910,2640762,135460,472694,120143,447599,12634,51555.0,88091.0,332537.0,100725.0,384092.0
AC,201911,2640762,136889,475880,121083,449969,12640,51424.0,88664.0,333989.0,101304.0,385413.0
AC,201912,2640762,138241,478893,121920,452163,12632,51368.0,89177.0,335273.0,101809.0,386641.0
AC,202001,2640762,139303,481444,123085,455189,12656,51460.0,89504.0,336138.0,102160.0,387598.0
AC,202002,2640762,136505,471892,120456,446393,12020,49001.0,89126.0,334874.0,101146.0,383875.0
AC,202003,2640762,137731,474653,121333,448414,12034,48907.0,89577.0,336076.0,101611.0,384983.0
AC,202004,2640762,137987,474922,121518,448574,12046,48824.0,89660.0,336087.0,101706.0,384911.0
AC,202005,2640762,138170,474738,121687,448404,12069,48778.0,89770.0,335892.0,101839.0,384670.0
